2025-09-18 16:32:25|HLI|Gold Irwin|S|202.75|-6811
2025-09-18 16:31:06|OS|Hohenstein Ken|S|18.69|-40000
2025-09-23 18:00:03|ENVA|Fisher David|S|125.6|-41000
2025-09-22 20:05:06|NTRA|Sheena Jonathan|S|178.7|-14070
2025-09-22 08:12:21|TMUS|Deutsche Telekom AG|S|239.01|-193278
2025-09-19 21:01:07|NVDA|Huang Jen Hsun|S|174.14|-225000
2025-09-19 20:08:35|DELL|Slta IV (Gp), L.L.C.|S|130.41|-565000
2025-09-19 20:06:36|DELL|Slta V (Gp), L.L.C.|S|130.41|-565000
2025-09-19 20:03:51|TPC|Tutor Ronald N|S|64.51|-200000
2025-09-19 20:02:32|TPC|Feltenstein Sidney J|S|65.96|-125000
2025-09-19 20:00:30|NYC|Schorsch Nicholas S|P|9.9|1458
2025-09-19 19:40:00|ACR|Eagle Point Credit Management LLC|S|22.61|-5683
2025-09-19 19:12:19|ELVN|Kintz Samuel|S|19.29|-6000
2025-09-19 18:53:05|ANET|Duda Kenneth|S|141.8|-56000
2025-09-19 18:46:28|CCCS|Goodson John Page|S|9.59|-150000
2025-09-19 18:25:47|CVNA|Garcia Ernest C. III|S|373.54|-10000
2025-09-19 18:20:38|CRM|Benioff Marc|S|243.22|-4500
2025-09-19 18:17:35|OKLO|Bealmear Richard Craig|S|94.31|-100000
2025-09-19 18:16:55|GTLB|Jacobson Matthew|S|50.48|-443447
2025-09-19 17:55:56|UPWK|Brown Hayden|S|19.04|-82344
2025-09-19 17:48:08|RNGR|Agee Brett T.|S|14.51|-14014
2025-09-19 17:42:06|WRBY|Gilboa David Abraham|S|27.58|-58960
2025-09-19 17:40:24|WRBY|Blumenthal Neil Harris|S|27.52|-8916
2025-09-19 17:24:26|COCO|Van Es Charles|S|42.04|-20000
2025-09-19 17:21:27|COCO|Sadowsky Kenneth|S|40.03|-3900
2025-09-19 17:18:22|COCO|Prior Jane|S|42.04|-10000
2025-09-19 17:15:11|COCO|Liran IRA|S|42|-50000
2025-09-19 17:14:45|CRWV|Venturo Brian M|S|118.68|-281250
2025-09-19 17:12:26|COCO|Kirban Michael|S|41.72|-30000
2025-09-19 17:08:56|COCO|Burth Jonathan|S|42.55|-16827
2025-09-19 17:05:01|AMBA|Young John Alexander|S|79.43|-2566
2025-09-19 17:04:52|AMBA|Lee Chan W|S|79.43|-1947
2025-09-19 17:04:41|AMBA|Kohn Leslie|S|79.43|-2249
2025-09-19 17:03:32|AMBA|Ju Chi-Hong|S|79.43|-1168
2025-09-19 17:01:36|ALHC|General Atlantic (Aln Hlth), L.P.|S|16.01|-6246096
2025-09-19 17:01:08|SCSC|Baur Michael L|S|44.76|-150000
2025-09-19 17:00:58|AMBA|Wang Feng-Ming|S|79.43|-4928
2025-09-19 17:00:47|ALHC|General Atlantic, L.P.|S|16.01|-6246096
2025-09-19 16:53:47|OKTA|Schwartz Larissa|S|90.17|-3348
2025-09-19 16:52:28|RCMT|Vizi Bradley|S|27.5|-9256
2025-09-19 16:50:07|UUU|Ault Milton C III|P|6.06|6000
2025-09-19 16:44:14|UPST|Darling Scott|S|70.01|-1000
2025-09-19 16:43:30|MDB|Cochran Hope F|S|327.93|-1174
2025-09-19 16:42:49|SVV|Walsh Mark T.|S|13.01|-6070
2025-09-19 16:41:29|SVV|Medway Richard A.|S|12.98|-4815
2025-09-19 16:41:04|FSLY|Lovett Scott R.|S|8.41|-42172
2025-09-19 16:34:57|PEGA|Trefler Alan|S|58.3|-45000
2025-09-19 16:34:39|ADI|Stata Ray|S|248.27|-6250
2025-09-19 16:33:36|HIPO|Zeltser Guy|S|37.48|-5177
2025-09-19 16:32:39|DV|Grimmig Andrew E|S|12.99|-4096
2025-09-19 16:32:23|WDAY|Sauer Richard Harry|S|235.41|-1160
2025-09-19 16:31:06|NMZ|Bank of America Corp /de/|P|10.65|10784
2025-09-19 16:31:06|NMZ|Bank of America Corp /de/|S|10.56|-10784
2025-09-19 16:30:14|ACMR|Liu Tracy|S|33|-15000
2025-09-19 16:30:09|NTAP|Kurian George|S|122.91|-8750
2025-09-19 16:30:08|ICE|Williams Stuart Glen|S|172.04|-939
2025-09-19 16:30:06|PX|Williams Mel|S|12.02|-23494
2025-09-19 16:28:15|HIMS|Boughton Soleil|S|50.5|-2637
2025-09-19 16:28:09|HIMS|Carroll Patrick Harrison|S|50.5|-10021
2025-09-19 16:28:03|HIMS|Becklund Irene|S|50.5|-8410
2025-09-19 16:27:57|HIMS|Chi Michael|S|50.5|-13749
2025-09-19 16:27:52|HIMS|Dudum Andrew|S|50.57|-65110
2025-09-19 16:23:09|ESI|Liebowitz Matthew|S|26.55|-50000
2025-09-19 16:20:15|EBAY|Rawashdeh Mazen|S|89.31|-1910
2025-09-19 16:20:04|NSP|Sarvadi Paul J|S|51.98|-10850
2025-09-19 16:07:47|DDOG|Agarwal Amit|S|134.36|-10112
2025-09-19 16:07:19|AOMR|Filson Brandon|S|9.78|-50000
2025-09-19 16:06:29|ELF|Marchisotto Kory|S|150|-10812
2025-09-19 16:05:11|CSTL|Maetzold Derek J|S|21.97|-1339
2025-09-19 16:05:05|RAPP|Ceesay Abraham|S|26.32|-76420
2025-09-19 16:05:03|COCO|Verlinvest Beverages Sa|S|40.77|-3000000
2025-09-19 16:04:59|IBKR|Brody Paul Jonathan|S|63.54|-223382
2025-09-19 15:40:58|GLRE|Isaacs Ian|S|12.79|-8393
2025-09-19 10:31:11|BDSX|Schuler Jack W|P|6.06|18373
2025-09-19 08:31:12|NEXT|Vrattos William C|P|6.86|100000
2025-09-19 06:20:41|KEYS|Estrada Ingrid A|S|173.98|-2000
2025-09-19 06:18:20|KEYS|Poole Lisa M.|S|173.56|-142
2025-09-18 21:16:48|CRUS|Baumgartner Jeffrey W|S|120|-9162
2025-09-18 20:33:31|PINS|Silbermann Benjamin|S|36.66|-102083
2025-09-18 18:24:00|BXMT|Marone Anthony F. Jr|S|19.48|-1006
2025-09-18 18:23:29|BXMT|Keenan Katharine A|S|19.49|-4593
2025-09-18 18:22:19|BXMT|Urbaszek Marcin|S|19.5|-398
2025-09-18 18:10:35|M|Kirgan Danielle L.|S|17.75|-100000
2025-09-18 18:04:31|WINA|Barbetta Lawrence A|S|505.02|-852
2025-09-18 17:39:33|PFBX|Stilwell Joseph|P|20.2|3000
2025-09-18 17:01:44|CDP|Trimberger Lisa G|S|30.64|-7896
2025-09-18 16:41:03|MCB|Rosenberg Nick|S|79.47|-1250
2025-09-18 16:38:17|NCMI|Woods Maria Vg|S|5|-2584
2025-09-18 16:30:49|SNX|Witt Marshall|S|149.84|-861
2025-09-18 16:30:39|UTHR|Rothblatt Martine A|S|402.29|-8000
2025-09-18 16:30:20|TTAN|Kuzoyan Vahe|S|116.04|-3059
2025-09-18 16:29:58|TEAM|Farquhar Scott|S|173.56|-7665
2025-09-18 16:29:34|TEAM|Cannon-Brookes Michael|S|173.56|-7665
2025-09-18 16:27:59|DAKT|Gatzke Carla S|S|23.09|-9944
2025-09-23 14:56:53|MPWR|Martinez Carintia|S|900|-1400
2025-09-23 14:35:12|MPWR|Tseng Saria|S|914.45|-14510
